Employee_Number,Age,Gender,Education,Education_Field,Environment_Satisfaction,Marital_Status,Num_Companies_Worked,Over_18,Work_Life_Balance,Total_Working_Years,Distance_from_Home,Employee_Count,Years_at_Company,Business_Travel,Department,Job_Involvement,Job_Level,Job_Role,Years_in_Current_Role,Years_since_Last_Promotion,Years_with_Curr_Manager,Daily_Rate,Hourly_Rate,Monthly_Rate,Over_Time,Percent_Salary_Hike,Standard_Hours,Stock_Option_Level,Job_Satisfaction,Performance_Rating,Satisfaction_with_Manager,Training_Times_Last_Year,Attrition,Monthly_Income
754,44,Female,4,Marketing,2,Single,3,Y,2,22,2,1,2,Travel Rarely,Sales,3,5,Manager,2,2,1,705,83,22822,No,12,80,0,1,3,4,2,No,18947
1112,41,Male,3,Medical,3,Divorced,6,Y,3,7,19,1,2,Travel Frequently,Research & Development,4,1,Research Scientist,2,2,2,933,57,20366,Yes,12,80,0,3,3,4,2,Yes,2759
280,32,Male,3,Life Sciences,4,Single,1,Y,3,10,17,1,10,Non-Travel,Sales,3,4,Manager,8,6,0,722,38,20489,No,11,80,0,3,3,4,2,No,17444
1073,35,Male,2,Medical,4,Divorced,7,Y,2,8,5,1,6,Travel Rarely,Research & Development,3,2,Manufacturing Director,2,0,4,1192,61,23177,No,16,80,2,4,3,3,2,No,6347
441,24,Male,2,Life Sciences,3,Single,1,Y,2,8,4,1,8,Travel Rarely,Research & Development,3,1,Research Scientist,5,2,2,583,53,9973,Yes,20,80,0,4,4,2,2,No,2875
143,34,Male,4,Medical,3,Single,4,Y,3,16,2,1,11,Travel Rarely,Research & Development,3,1,Laboratory Technician,8,3,9,938,79,12287,No,21,80,0,3,4,3,6,No,2519
670,21,Male,2,Life Sciences,4,Married,6,Y,1,4,1,1,2,Travel Rarely,Research & Development,2,2,Manufacturing Director,2,2,2,1230,33,19146,No,22,80,2,4,4,1,2,No,4775
238,48,Male,3,Other,2,Single,8,Y,3,26,7,1,5,Travel Rarely,Research & Development,2,3,Healthcare Representative,2,0,0,1261,31,12066,No,24,80,0,3,4,3,2,No,10965
761,33,Female,1,Life Sciences,4,Married,1,Y,1,10,21,1,10,Travel Rarely,Research & Development,3,2,Healthcare Representative,6,0,7,1137,51,19170,Yes,25,80,1,4,4,4,2,No,4014
473,37,Male,3,Medical,3,Married,4,Y,3,7,2,1,5,Travel Rarely,Research & Development,3,2,Manufacturing Director,2,1,4,903,81,7653,No,11,80,2,2,3,1,2,Yes,4855
502,43,Male,3,Life Sciences,4,Divorced,3,Y,1,19,24,1,1,Travel Frequently,Research & Development,3,1,Laboratory Technician,0,0,0,920,43,19920,Yes,22,80,1,3,4,4,0,Yes,3161
467,31,Female,3,Life Sciences,3,Married,6,Y,3,5,1,1,3,Non-Travel,Research & Development,2,1,Laboratory Technician,0,0,2,1184,70,3974,No,20,80,0,2,4,3,3,No,2332
1238,57,Female,3,Medical,4,Married,3,Y,3,32,1,1,9,Travel Rarely,Research & Development,3,5,Research Director,8,1,5,1055,76,22456,Yes,21,80,1,1,4,3,3,No,19701
54,22,Male,3,Life Sciences,3,Divorced,1,Y,3,1,9,1,1,Non-Travel,Research & Development,2,1,Laboratory Technician,0,0,0,1092,60,26551,No,11,80,3,2,3,3,4,No,2694
599,44,Male,4,Life Sciences,1,Married,4,Y,3,9,7,1,3,Travel Frequently,Research & Development,4,2,Manufacturing Director,2,0,2,1199,77,5118,No,17,80,1,3,3,4,1,No,6434
944,32,Male,2,Technical Degree,2,Married,1,Y,3,10,8,1,10,Travel Rarely,Sales,4,2,Sales Executive,8,4,8,810,92,22128,No,21,80,2,3,4,3,5,No,6799
624,44,Male,4,Life Sciences,4,Single,1,Y,1,27,1,1,26,Travel Rarely,Sales,4,4,Manager,0,0,12,563,56,3156,No,15,80,0,1,3,2,5,No,17567
1235,50,Male,4,Marketing,3,Single,0,Y,1,11,21,1,10,Travel Rarely,Sales,3,2,Sales Executive,7,1,0,632,71,8423,Yes,22,80,0,4,4,4,2,No,5441
663,27,Female,1,Life Sciences,4,Married,0,Y,3,4,2,1,3,Travel Frequently,Research & Development,3,1,Laboratory Technician,2,0,2,410,97,4668,No,13,80,3,2,3,3,3,No,3180
593,33,Female,2,Marketing,3,Married,4,Y,2,16,8,1,13,Non-Travel,Sales,2,3,Sales Executive,2,4,12,1212,78,13755,Yes,11,80,1,4,3,2,6,No,10377
905,32,Female,1,Life Sciences,2,Married,1,Y,2,6,9,1,6,Travel Rarely,Sales,3,2,Sales Executive,5,1,3,1400,70,5829,No,20,80,0,3,4,1,3,No,5714
1289,39,Male,3,Life Sciences,4,Married,3,Y,3,12,1,1,5,Travel Rarely,Research & Development,3,1,Research Scientist,3,1,0,642,76,21412,No,22,80,1,4,4,1,3,No,2782
1192,45,Male,2,Medical,4,Divorced,6,Y,3,13,7,1,8,Travel Rarely,Research & Development,3,3,Manufacturing Director,7,0,7,566,75,24208,No,13,80,1,3,3,2,3,No,10845
596,44,Male,3,Life Sciences,1,Divorced,1,Y,3,24,7,1,24,Travel Frequently,Research & Development,3,3,Laboratory Technician,9,9,11,1249,97,20308,No,18,80,1,1,3,1,2,No,5210
500,38,Male,1,Medical,3,Married,1,Y,3,21,10,1,21,Travel Rarely,Research & Development,3,4,Manager,9,11,10,117,99,5355,Yes,14,80,0,1,3,4,3,No,17068
1063,37,Male,4,Life Sciences,4,Married,0,Y,3,16,1,1,15,Travel Rarely,Sales,3,2,Sales Executive,13,5,8,1321,86,7636,No,15,80,2,2,3,1,3,No,4440
662,54,Male,4,Life Sciences,4,Married,0,Y,3,4,4,1,3,Travel Rarely,Research & Development,3,2,Healthcare Representative,2,1,2,1229,30,16143,Yes,16,80,0,3,3,2,2,No,4035
240,34,Female,4,Technical Degree,4,Married,3,Y,3,10,10,1,7,Travel Rarely,Research & Development,3,3,Healthcare Representative,7,1,7,325,63,5747,No,12,80,0,3,3,1,0,No,7094
480,39,Female,3,Medical,2,Divorced,1,Y,3,20,26,1,20,Travel Frequently,Research & Development,3,2,Research Scientist,7,2,13,1395,54,8504,No,11,80,1,2,3,1,2,No,5605
849,23,Female,3,Life Sciences,1,Married,1,Y,3,6,7,1,6,Travel Frequently,Research & Development,3,1,Laboratory Technician,3,1,2,1287,55,14168,Yes,16,80,1,3,3,4,4,Yes,2886
648,53,Male,4,Marketing,1,Single,6,Y,2,24,13,1,19,Travel Rarely,Sales,4,4,Sales Executive,7,3,8,267,85,9277,Yes,17,80,0,3,3,3,2,Yes,13695
134,55,Female,3,Medical,1,Married,2,Y,3,18,9,1,5,Travel Frequently,Research & Development,3,1,Research Scientist,4,0,3,1240,63,12154,No,19,80,1,3,3,2,4,No,2942
651,27,Male,3,Life Sciences,3,Married,1,Y,4,5,1,1,5,Travel Rarely,Research & Development,3,1,Research Scientist,3,0,3,1181,82,5531,No,11,80,1,4,3,3,6,No,2044
453,39,Female,3,Life Sciences,3,Single,6,Y,2,18,16,1,4,Travel Rarely,Research & Development,3,3,Manufacturing Director,2,3,3,448,84,19948,Yes,15,80,0,4,3,4,2,No,7945
893,39,Male,2,Medical,3,Single,1,Y,3,21,6,1,21,Travel Rarely,Human Resources,3,4,Manager,7,7,7,898,38,17381,Yes,21,80,0,4,4,4,2,No,16437
389,41,Female,4,Life Sciences,2,Divorced,3,Y,3,8,1,1,5,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,1,2,201,95,20490,No,16,80,1,1,3,2,5,No,2576
1205,34,Male,3,Life Sciences,4,Married,4,Y,3,10,16,1,8,Travel Rarely,Research & Development,3,3,Healthcare Representative,7,0,0,1276,72,14295,Yes,12,80,0,3,3,3,2,No,7632
93,45,Male,2,Life Sciences,2,Single,8,Y,3,6,26,1,2,Non-Travel,Sales,2,2,Sales Executive,2,2,2,849,98,25166,No,15,80,0,2,3,3,3,No,7991
1240,36,Male,3,Medical,2,Married,3,Y,3,15,18,1,1,Travel Rarely,Research & Development,1,2,Healthcare Representative,0,1,0,833,60,24539,Yes,16,80,1,4,3,3,2,No,5811
25,30,Male,4,Life Sciences,1,Single,1,Y,1,1,25,1,1,Travel Rarely,Research & Development,3,1,Laboratory Technician,0,0,1,374,87,18016,Yes,24,80,0,4,4,3,2,Yes,2795
756,22,Male,3,Medical,1,Married,2,Y,4,5,4,1,3,Travel Rarely,Research & Development,4,1,Research Scientist,2,0,2,885,58,8544,No,16,80,1,1,3,1,3,No,2819
281,52,Female,3,Technical Degree,3,Married,8,Y,3,22,17,1,10,Travel Rarely,Research & Development,3,3,Manufacturing Director,7,0,8,1441,56,13943,No,11,80,1,3,3,3,2,No,10739
84,31,Male,4,Life Sciences,4,Single,8,Y,3,8,5,1,1,Travel Rarely,Research & Development,2,2,Manufacturing Director,0,0,0,1373,56,10138,No,24,80,0,4,4,2,1,No,9679
574,22,Male,1,Life Sciences,1,Married,0,Y,2,6,4,1,5,Non-Travel,Research & Development,2,1,Laboratory Technician,2,3,4,1269,46,10778,No,17,80,0,4,3,4,2,No,3162
266,45,Female,2,Marketing,4,Married,2,Y,3,26,4,1,11,Travel Rarely,Sales,2,5,Manager,4,0,8,168,33,9946,No,14,80,1,2,3,3,2,No,18789
644,25,Female,4,Marketing,2,Married,1,Y,3,8,8,1,8,Travel Rarely,Sales,3,2,Sales Executive,7,0,7,1130,56,3415,No,18,80,1,2,3,1,3,No,6214
855,26,Male,2,Life Sciences,1,Divorced,1,Y,2,4,15,1,4,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,2,2,895,50,22482,No,16,80,1,3,3,4,5,No,2207
26,54,Female,2,Medical,4,Married,4,Y,3,23,2,1,19,Travel Rarely,Research & Development,1,5,Manager,9,9,11,282,58,6992,No,14,80,1,3,3,4,5,No,19187
902,45,Female,3,Marketing,3,Married,8,Y,3,28,2,1,26,Travel Rarely,Sales,3,4,Manager,15,15,9,1402,69,24097,No,23,80,0,1,4,1,2,No,17048
1064,49,Male,4,Other,4,Single,3,Y,3,5,1,1,0,Travel Frequently,Sales,3,2,Sales Executive,0,0,0,959,81,17251,Yes,14,80,0,3,3,4,4,Yes,4728
485,24,Female,3,Medical,4,Single,1,Y,2,2,1,1,2,Travel Rarely,Research & Development,3,1,Research Scientist,2,2,1,266,40,18830,No,18,80,0,2,3,4,3,No,2096
323,43,Male,4,Technical Degree,1,Divorced,1,Y,3,10,1,1,10,Travel Rarely,Research & Development,3,3,Healthcare Representative,8,7,7,538,66,20933,No,12,80,3,2,3,1,4,No,7441
1262,32,Male,2,Medical,2,Married,1,Y,4,15,5,1,15,Travel Rarely,Research & Development,2,2,Laboratory Technician,10,4,13,1157,57,11912,No,14,80,1,4,3,3,3,No,3986
52,27,Male,3,Life Sciences,3,Married,0,Y,3,6,2,1,5,Travel Rarely,Research & Development,3,1,Research Scientist,4,0,4,1328,76,4956,No,23,80,1,2,4,4,3,No,2703
608,33,Male,4,Medical,4,Married,7,Y,3,5,11,1,2,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,2,2,1490,43,20232,Yes,11,80,1,3,3,3,3,No,2660
157,21,Female,2,Other,2,Married,1,Y,2,4,26,1,4,Non-Travel,Research & Development,2,1,Research Scientist,2,1,3,457,85,10293,Yes,14,80,0,3,3,2,2,No,2814
1018,44,Female,2,Life Sciences,2,Married,0,Y,2,10,25,1,9,Travel Rarely,Research & Development,2,2,Manufacturing Director,8,3,8,556,93,23888,No,13,80,2,4,3,4,2,No,5906
862,26,Male,4,Life Sciences,1,Single,2,Y,1,5,2,1,0,Travel Rarely,Research & Development,3,1,Laboratory Technician,0,0,0,529,79,14935,No,11,80,0,3,3,3,5,Yes,3485
1065,36,Male,4,Life Sciences,4,Divorced,9,Y,3,10,23,1,2,Travel Rarely,Research & Development,3,2,Healthcare Representative,2,1,2,688,82,18899,No,14,80,1,4,3,2,2,No,5745
764,34,Female,3,Marketing,1,Married,2,Y,2,17,7,1,15,Travel Frequently,Sales,4,2,Sales Executive,7,6,13,607,83,2261,No,16,80,1,1,3,4,2,No,4639
1245,55,Male,3,Medical,3,Married,7,Y,2,30,9,1,10,Travel Rarely,Research & Development,3,4,Healthcare Representative,7,1,1,832,81,20420,No,11,80,0,4,3,3,1,No,11103
664,57,Female,3,Life Sciences,4,Married,4,Y,2,29,21,1,1,Travel Rarely,Sales,3,4,Manager,0,0,0,605,72,11761,Yes,13,80,1,4,3,3,2,No,17875
1369,51,Female,4,Other,3,Married,9,Y,1,12,8,1,5,Travel Rarely,Research & Development,3,1,Laboratory Technician,4,0,4,258,54,17363,No,13,80,0,1,3,3,2,No,2950
135,18,Male,1,Marketing,4,Single,1,Y,2,0,22,1,0,Travel Rarely,Sales,3,1,Sales Representative,0,0,0,528,50,26820,Yes,19,80,0,3,3,4,2,Yes,1675
1463,36,Male,4,Other,3,Married,3,Y,3,8,3,1,2,Travel Frequently,Research & Development,3,1,Research Scientist,2,2,2,1186,44,2997,No,16,80,1,3,3,1,2,No,2821
14,40,Male,2,Life Sciences,4,Single,1,Y,3,20,23,1,20,Non-Travel,Research & Development,2,2,Research Scientist,9,3,7,335,37,14811,No,12,80,0,3,3,4,2,No,4332
882,41,Female,4,Technical Degree,4,Married,0,Y,4,7,28,1,6,Travel Frequently,Research & Development,2,2,Healthcare Representative,5,0,4,1368,88,4386,No,11,80,3,4,3,4,4,No,4523
1103,33,Female,4,Marketing,3,Married,9,Y,3,6,4,1,3,Non-Travel,Sales,3,2,Sales Executive,2,1,2,1381,72,12740,No,15,80,1,3,3,1,3,No,6538
1265,26,Male,4,Technical Degree,2,Married,1,Y,2,6,2,1,5,Travel Rarely,Research & Development,3,1,Research Scientist,3,1,2,1354,41,6073,No,11,80,1,2,3,3,3,No,2226
141,30,Male,3,Medical,2,Married,0,Y,3,10,23,1,9,Travel Rarely,Research & Development,2,2,Healthcare Representative,0,7,8,1463,64,14408,No,21,80,1,4,4,2,2,No,5582
731,43,Female,5,Marketing,1,Married,7,Y,2,11,1,1,1,Travel Frequently,Sales,3,2,Sales Executive,0,0,0,383,79,9282,No,12,80,1,3,3,3,4,No,4768
219,24,Male,4,Medical,1,Divorced,2,Y,3,5,16,1,3,Travel Rarely,Research & Development,3,1,Laboratory Technician,2,0,2,1449,45,14180,Yes,13,80,1,2,3,4,2,Yes,2373
215,26,Female,2,Marketing,4,Single,3,Y,3,6,13,1,2,Travel Rarely,Sales,3,2,Sales Executive,0,2,2,1475,84,23352,Yes,11,80,0,3,3,4,0,Yes,9854
479,24,Male,2,Medical,2,Single,8,Y,3,7,29,1,2,Non-Travel,Sales,1,2,Sales Executive,2,2,2,265,79,21813,No,18,80,0,1,3,4,6,Yes,4969
1470,44,Female,2,Marketing,2,Divorced,1,Y,3,24,1,1,24,Travel Rarely,Sales,3,3,Sales Executive,13,15,7,526,92,2137,No,25,80,3,1,4,3,2,No,10453
293,36,Male,3,Life Sciences,2,Married,1,Y,2,8,21,1,8,Travel Rarely,Research & Development,4,1,Research Scientist,7,1,7,290,65,22977,Yes,12,80,1,1,3,1,3,No,3564
840,34,Male,4,Life Sciences,1,Married,3,Y,3,9,6,1,3,Travel Frequently,Research & Development,4,2,Laboratory Technician,2,0,2,1302,80,19711,Yes,13,80,1,1,3,4,3,No,5562
28,43,Male,4,Medical,2,Single,4,Y,3,12,1,1,4,Travel Frequently,Research & Development,3,2,Healthcare Representative,2,0,3,1297,44,14511,No,12,80,0,3,3,3,3,No,5399
674,45,Female,2,Life Sciences,4,Single,6,Y,4,10,1,1,7,Travel Rarely,Human Resources,3,1,Human Resources,6,5,7,991,44,22957,No,12,80,0,1,3,3,3,No,3423
417,36,Female,3,Life Sciences,2,Single,2,Y,4,8,16,1,3,Travel Rarely,Sales,3,2,Sales Executive,2,1,2,437,90,16379,No,12,80,0,2,3,2,5,No,4198
910,39,Male,3,Marketing,2,Married,1,Y,3,10,1,1,10,Travel Rarely,Sales,4,3,Sales Executive,7,0,7,645,49,19566,No,16,80,1,1,3,3,2,No,8392
766,42,Male,4,Life Sciences,2,Married,2,Y,3,10,1,1,2,Travel Rarely,Research & Development,4,2,Healthcare Representative,0,2,2,170,78,9364,No,15,80,1,1,3,4,5,No,5033
309,42,Female,4,Life Sciences,3,Divorced,1,Y,4,9,10,1,9,Travel Frequently,Research & Development,2,2,Laboratory Technician,7,0,0,559,82,6227,No,11,80,1,3,3,2,3,No,5257
283,28,Male,1,Medical,4,Married,1,Y,4,11,20,1,11,Travel Frequently,Research & Development,3,1,Laboratory Technician,8,3,10,574,40,7003,No,13,80,0,4,3,2,3,No,3812
727,42,Male,1,Medical,2,Single,5,Y,2,16,2,1,2,Travel Frequently,Research & Development,3,3,Manufacturing Director,2,2,2,1193,86,19719,Yes,18,80,0,3,3,2,2,No,10209
446,33,Male,3,Marketing,3,Married,0,Y,2,12,16,1,11,Travel Rarely,Sales,3,3,Sales Executive,9,6,9,1232,96,5100,No,15,80,2,2,3,3,3,No,8020
1417,29,Female,5,Life Sciences,1,Single,3,Y,4,9,8,1,3,Travel Rarely,Research & Development,3,4,Research Director,2,1,0,182,93,8847,No,11,80,0,2,3,3,3,No,16422
1055,43,Female,4,Life Sciences,3,Married,4,Y,4,10,2,1,8,Non-Travel,Sales,3,2,Sales Executive,7,5,7,589,67,19665,No,22,80,2,3,4,2,3,No,5154
1338,29,Male,3,Life Sciences,4,Married,3,Y,3,7,1,1,2,Travel Rarely,Research & Development,1,1,Laboratory Technician,2,0,2,921,38,24375,No,21,80,2,3,4,3,2,No,3833
205,30,Male,3,Life Sciences,3,Married,0,Y,3,3,20,1,2,Travel Frequently,Sales,4,1,Sales Representative,2,2,2,793,67,21981,No,12,80,1,4,3,1,4,No,2791
299,45,Male,4,Medical,3,Divorced,7,Y,3,24,2,1,2,Travel Rarely,Research & Development,3,5,Research Director,1,2,2,734,46,14218,Yes,17,80,1,4,3,3,3,No,19328
613,34,Male,2,Medical,3,Married,2,Y,3,10,11,1,4,Non-Travel,Research & Development,2,3,Healthcare Representative,0,2,3,1097,79,8302,Yes,13,80,1,1,3,3,3,No,9884
1019,27,Female,1,Medical,2,Married,1,Y,3,10,6,1,10,Travel Rarely,Research & Development,3,1,Laboratory Technician,8,0,8,1401,54,26342,No,13,80,1,4,3,1,5,No,3131
1135,24,Male,2,Medical,1,Married,1,Y,3,5,11,1,5,Travel Frequently,Research & Development,3,2,Healthcare Representative,3,3,3,496,60,22722,Yes,13,80,1,1,3,3,3,No,4741
1029,21,Male,1,Medical,1,Single,1,Y,3,2,10,1,2,Travel Rarely,Research & Development,4,1,Research Scientist,2,0,2,310,79,19630,No,18,80,0,3,3,4,3,No,3505
734,53,Male,3,Medical,3,Married,8,Y,3,34,2,1,1,Travel Rarely,Research & Development,2,5,Research Director,0,0,0,478,60,19805,No,12,80,3,1,3,2,2,No,19038
1050,25,Male,1,Technical Degree,3,Divorced,1,Y,3,9,5,1,9,Travel Rarely,Research & Development,2,3,Research Director,8,0,8,269,42,8842,Yes,16,80,1,4,3,2,3,No,12808
595,44,Male,3,Other,3,Married,0,Y,3,25,1,1,24,Travel Rarely,Research & Development,4,5,Manager,0,1,7,252,70,15970,No,11,80,1,4,3,3,2,No,19202
1461,29,Male,1,Life Sciences,3,Single,1,Y,3,12,1,1,11,Non-Travel,Research & Development,2,3,Manufacturing Director,8,5,8,829,88,20925,No,22,80,0,3,4,3,2,No,8474
349,47,Male,1,Marketing,2,Married,3,Y,3,12,2,1,2,Travel Rarely,Sales,4,2,Sales Executive,2,2,2,817,56,18597,No,12,80,0,2,3,4,3,No,8120
437,49,Female,3,Technical Degree,1,Married,2,Y,3,15,3,1,2,Travel Rarely,Research & Development,3,3,Manager,2,2,2,942,53,22984,No,11,80,0,3,3,4,2,No,13116
612,34,Female,4,Marketing,2,Married,4,Y,2,8,11,1,6,Travel Rarely,Sales,2,2,Sales Executive,3,0,0,1120,100,14369,No,13,80,1,4,3,1,2,No,6652
1089,36,Male,2,Marketing,2,Married,1,Y,3,5,9,1,5,Travel Rarely,Sales,2,2,Sales Executive,2,0,3,589,46,8800,No,14,80,2,2,3,1,2,No,4189
661,23,Female,1,Technical Degree,1,Single,1,Y,3,6,1,1,5,Travel Rarely,Sales,3,1,Sales Representative,3,1,4,1448,62,21972,Yes,16,80,0,2,3,2,4,Yes,3202
1305,47,Male,1,Life Sciences,2,Married,3,Y,3,28,2,1,5,Travel Frequently,Research & Development,3,5,Research Director,4,4,3,1064,42,13738,No,15,80,0,4,3,4,3,No,19161
230,37,Female,4,Marketing,4,Single,0,Y,3,8,7,1,7,Travel Rarely,Sales,2,2,Sales Executive,7,0,5,243,46,7791,No,20,80,0,4,4,1,2,No,4028
321,39,Female,2,Life Sciences,4,Married,1,Y,3,5,14,1,5,Travel Rarely,Sales,3,2,Sales Executive,4,1,2,118,84,11262,No,15,80,1,1,3,3,2,No,4639
690,27,Male,1,Life Sciences,1,Married,0,Y,1,6,2,1,5,Travel Rarely,Research & Development,2,1,Research Scientist,3,0,4,1451,67,19911,No,17,80,0,2,3,1,2,No,3201
658,35,Male,4,Medical,1,Divorced,1,Y,3,9,9,1,9,Non-Travel,Sales,3,3,Sales Executive,5,7,7,142,69,24666,No,13,80,1,2,3,4,6,No,8834
474,35,Male,3,Medical,4,Married,0,Y,2,2,9,1,1,Travel Rarely,Research & Development,2,1,Research Scientist,0,0,0,318,79,21777,Yes,17,80,1,3,3,1,0,Yes,3388
1301,48,Female,3,Life Sciences,1,Married,3,Y,2,28,1,1,8,Travel Frequently,Research & Development,3,5,Research Director,3,0,7,1115,73,9755,Yes,19,80,0,2,3,1,1,No,18172
726,33,Female,3,Life Sciences,4,Single,1,Y,1,11,16,1,11,Travel Rarely,Research & Development,2,3,Healthcare Representative,8,3,3,1029,91,21195,No,19,80,0,2,3,4,3,No,8606
830,42,Female,3,Life Sciences,3,Married,8,Y,2,10,7,1,1,Travel Rarely,Research & Development,3,3,Healthcare Representative,0,0,0,1001,43,9262,No,16,80,1,1,3,1,1,No,9985
628,27,Female,3,Life Sciences,4,Single,6,Y,3,3,10,1,0,Travel Rarely,Research & Development,2,1,Research Scientist,0,0,0,906,92,11479,Yes,20,80,0,1,4,3,5,Yes,2404
1218,37,Male,3,Life Sciences,4,Married,7,Y,4,19,1,1,13,Travel Frequently,Research & Development,3,2,Research Scientist,11,2,9,1189,90,9867,No,15,80,2,4,3,4,4,No,4735
1169,35,Male,3,Technical Degree,3,Single,4,Y,3,10,3,1,8,Travel Rarely,Research & Development,3,2,Research Scientist,0,7,7,506,30,26285,No,12,80,0,2,3,4,2,No,4485
909,44,Male,3,Technical Degree,2,Married,4,Y,4,10,29,1,3,Travel Rarely,Research & Development,3,3,Manufacturing Director,1,1,2,1448,55,14720,Yes,18,80,2,4,3,4,4,No,9380
1331,26,Female,2,Life Sciences,4,Single,0,Y,2,6,5,1,5,Travel Frequently,Research & Development,3,1,Laboratory Technician,4,0,2,1297,53,19826,Yes,14,80,0,4,3,3,3,No,2379
1450,37,Male,3,Human Resources,3,Married,1,Y,4,7,1,1,7,Travel Rarely,Human Resources,4,1,Human Resources,6,5,0,433,37,6004,No,13,80,1,3,3,4,2,No,2844
896,33,Male,5,Life Sciences,2,Married,1,Y,2,9,18,1,9,Travel Frequently,Sales,3,3,Sales Executive,8,1,8,853,71,11031,No,22,80,1,1,4,4,3,No,9069
1355,55,Male,2,Life Sciences,2,Married,0,Y,2,13,1,1,12,Travel Rarely,Research & Development,4,2,Research Scientist,9,2,8,405,93,2721,No,24,80,1,3,4,1,2,No,4900
538,34,Female,4,Life Sciences,2,Single,6,Y,3,15,1,1,1,Travel Rarely,Sales,3,2,Sales Executive,0,0,0,884,73,21447,No,13,80,0,3,3,1,5,No,6815
1347,31,Male,5,Marketing,4,Divorced,0,Y,3,10,10,1,9,Travel Rarely,Sales,4,3,Sales Executive,8,0,8,536,82,21708,Yes,14,80,2,3,3,4,3,No,8380
1181,33,Male,1,Medical,2,Single,2,Y,3,8,6,1,4,Travel Rarely,Research & Development,3,1,Research Scientist,2,1,3,699,83,17102,No,11,80,0,1,3,3,2,Yes,2960
227,37,Male,2,Life Sciences,3,Married,3,Y,3,13,25,1,6,Non-Travel,Research & Development,3,3,Healthcare Representative,4,0,5,1485,71,3449,No,21,80,1,3,4,2,2,No,10920
324,38,Female,1,Life Sciences,3,Married,1,Y,3,8,8,1,8,Travel Frequently,Research & Development,3,1,Laboratory Technician,3,0,7,443,48,17872,No,11,80,1,3,3,1,3,No,3755
478,32,Female,4,Life Sciences,3,Divorced,6,Y,3,12,6,1,1,Travel Rarely,Research & Development,2,2,Research Scientist,0,0,0,1031,45,15000,No,15,80,1,2,3,3,3,No,4505
1102,25,Female,1,Medical,2,Married,1,Y,3,9,23,1,9,Travel Rarely,Sales,2,2,Sales Representative,8,5,8,728,36,7018,No,21,80,1,3,4,4,5,No,3540
285,36,Female,2,Life Sciences,2,Divorced,3,Y,3,11,2,1,7,Travel Rarely,Sales,3,2,Sales Executive,7,1,7,1009,31,19461,No,15,80,1,1,3,4,3,No,6893
751,19,Male,2,Life Sciences,3,Single,1,Y,3,0,15,1,0,Travel Rarely,Research & Development,3,1,Research Scientist,0,0,0,391,96,19281,No,14,80,0,4,3,4,6,No,1232
90,32,Male,3,Medical,3,Married,5,Y,1,8,14,1,5,Travel Rarely,Research & Development,3,1,Laboratory Technician,4,0,4,813,58,22149,Yes,13,80,1,4,3,3,2,Yes,2436
1128,29,Female,2,Medical,2,Married,1,Y,1,13,7,1,13,Travel Rarely,Research & Development,3,2,Manufacturing Director,10,3,12,480,31,4156,No,12,80,1,1,3,2,5,No,4306
27,17,Male,2,Life Sciences,3,Single,1,N,3,1,9,1,1,Travel Rarely,Research & Development,3,1,Research Scientist,1,0,0,645,54,7172,No,25,80,0,1,4,3,4,No,2552
246,40,Male,4,Technical Degree,3,Married,3,Y,2,10,10,1,6,Non-Travel,Research & Development,3,1,Research Scientist,3,3,3,355,38,6161,No,22,80,2,3,4,2,1,No,2936
889,33,Female,3,Medical,3,Married,1,Y,3,5,18,1,5,Travel Rarely,Sales,3,2,Sales Executive,2,1,0,1219,86,6179,No,16,80,0,3,3,2,3,No,4601
262,31,Male,2,Life Sciences,2,Married,1,Y,3,10,5,1,10,Travel Frequently,Sales,3,2,Sales Executive,8,5,3,379,48,8891,No,14,80,1,2,3,4,3,No,6524
1345,35,Female,3,Technical Degree,3,Divorced,2,Y,3,17,1,1,7,Travel Rarely,Research & Development,1,3,Manufacturing Director,7,7,7,363,77,4235,Yes,21,80,1,1,4,3,2,No,10252
59,41,Male,4,Life Sciences,1,Married,1,Y,3,7,2,1,7,Travel Frequently,Sales,3,2,Sales Executive,7,7,7,1422,92,19246,No,20,80,1,4,4,3,5,No,5675
436,58,Female,3,Marketing,3,Married,4,Y,4,22,28,1,18,Travel Frequently,Sales,2,3,Sales Executive,13,13,11,1499,80,2845,No,19,80,0,1,3,4,5,No,10266
477,57,Male,4,Medical,4,Single,0,Y,2,38,10,1,37,Travel Rarely,Sales,3,4,Sales Executive,10,1,8,682,37,24409,No,13,80,0,3,3,3,1,No,13872
968,49,Male,3,Marketing,2,Married,2,Y,3,14,2,1,4,Travel Frequently,Sales,3,3,Sales Executive,2,3,2,541,52,15395,No,11,80,0,2,3,2,5,No,10596
1080,25,Female,3,Life Sciences,3,Divorced,1,Y,1,6,1,1,6,Travel Frequently,Research & Development,3,2,Manufacturing Director,5,1,4,1479,84,26767,No,20,80,1,2,4,1,6,No,6397
1116,48,Female,3,Marketing,3,Single,4,Y,3,16,12,1,2,Travel Frequently,Sales,3,3,Sales Executive,2,2,1,809,77,6645,No,11,80,0,4,3,4,3,No,9208
36,25,Male,3,Life Sciences,1,Single,1,Y,2,1,25,1,1,Travel Rarely,Research & Development,1,1,Laboratory Technician,0,0,1,1357,48,10558,No,12,80,0,3,3,3,2,Yes,2293
